[aserderliore: 02.10.2021, 18:47:56] --> WarmStrong appeared
[aserderliore: 02.10.2021, 18:48:28] --> WarmStrong appeared
[aserderliore: 02.10.2021, 18:48:31] --> WarmStrong appeared
[aserderliore: 02.10.2021, 18:49:04] --> WarmStrong appeared
[aserderliore: 02.10.2021, 18:50:08] --> WarmStrong appeared
[aserderliore: 02.10.2021, 18:53:51] --> WarmStrong appeared
[aserderliore: 02.10.2021, 19:13:03] --> Bot successfully started
[aserderliore: 02.10.2021, 19:13:05] --> Assasinaa appeared
[aserderliore: 02.10.2021, 19:13:21] --> Character was kicked from the bot, reason: Character was walking
[aserderliore: 02.10.2021, 19:13:33] --> karains1 appeared
[aserderliore: 02.10.2021, 19:13:51] --> koguzuseta appeared
[aserderliore: 02.10.2021, 19:14:06] --> Character was kicked from the bot, reason: Character was walking
[aserderliore: 02.10.2021, 19:15:46] --> Changing into CH1
[aserderliore: 02.10.2021, 19:15:50] --> Changing into CH1
[aserderliore: 02.10.2021, 19:15:53] --> Character got kick
[aserderliore: 02.10.2021, 19:15:58] --> komesaxire appeared
[aserderliore: 02.10.2021, 19:16:03] --> Changing into CH1
[aserderliore: 04.10.2021, 14:45:20] --> Bot successfully started
[aserderliore: 04.10.2021, 14:45:40] --> Character was kicked from the bot, reason: Character was walking
[aserderliore: 04.10.2021, 14:45:59] --> Character was kicked from the bot, reason: Character was walking
[aserderliore: 04.10.2021, 15:07:11] --> Character got kick
[aserderliore: 04.10.2021, 15:08:10] --> Character was kicked from the bot, reason: Character was walking
[aserderliore: 04.10.2021, 15:08:14] --> bozisonaripu appeared
[aserderliore: 04.10.2021, 15:08:26] --> bozisonaripu appeared
[aserderliore: 04.10.2021, 15:08:34] --> sofupirubo appeared
[aserderliore: 04.10.2021, 15:08:40] --> Character was kicked from the bot, reason: Character was walking
[aserderliore: 04.10.2021, 15:08:48] --> vimusokofopi appeared
[aserderliore: 04.10.2021, 15:09:03] --> Character was kicked from the bot, reason: Character was walking
[aserderliore: 04.10.2021, 15:26:32] --> dropPerCoRdr appeared
[aserderliore: 04.10.2021, 15:26:38] --> dropPerCoRdr appeared
