[:             29.10.2021, 11:32:32] --> Character got kick
[aszireders:   29.10.2021, 12:26:47] --> zezuverasul appeared
[aszireders:   29.10.2021, 12:26:58] --> pizunacicipa appeared
[aszireders:   29.10.2021, 12:27:08] --> zezuverasul appeared
[aszireders:   29.10.2021, 12:27:28] --> zezuverasul appeared
[aszireders:   29.10.2021, 12:27:47] --> zezuverasul appeared
[aszireders:   29.10.2021, 12:27:49] --> Character leveled up to level 33
[aszireders:   29.10.2021, 12:28:23] --> pizunacicipa appeared
[aszireders:   29.10.2021, 12:28:28] --> zezuverasul appeared
[aszireders:   29.10.2021, 12:28:47] --> zezuverasul appeared
[aszireders:   29.10.2021, 12:29:08] --> zezuverasul appeared
[aszireders:   29.10.2021, 12:29:15] --> pizunacicipa appeared
[aszireders:   29.10.2021, 12:29:28] --> zezuverasul appeared
[aszireders:   29.10.2021, 12:29:48] --> zezuverasul appeared
[aszireders:   29.10.2021, 12:30:08] --> zezuverasul appeared
[aszireders:   29.10.2021, 12:30:10] --> Character leveled up to level 34
[aszireders:   29.10.2021, 12:30:47] --> zezuverasul appeared
[aszireders:   29.10.2021, 12:31:08] --> zezuverasul appeared
[aszireders:   29.10.2021, 12:31:28] --> zezuverasul appeared
[aszireders:   29.10.2021, 12:31:47] --> zezuverasul appeared
[aszireders:   29.10.2021, 12:32:08] --> zezuverasul appeared
[aszireders:   29.10.2021, 12:32:28] --> zezuverasul appeared
[aszireders:   29.10.2021, 12:32:43] --> pizunacicipa appeared
[aszireders:   29.10.2021, 12:32:48] --> pizunacicipa appeared
[aszireders:   29.10.2021, 12:32:49] --> Character leveled up to level 35
[aszireders:   29.10.2021, 12:33:05] --> zezuverasul appeared
[aszireders:   29.10.2021, 12:33:25] --> zezuverasul appeared
[aszireders:   29.10.2021, 12:33:44] --> zezuverasul appeared
[aszireders:   29.10.2021, 12:34:06] --> zezuverasul appeared
[aszireders:   29.10.2021, 12:34:25] --> zezuverasul appeared
[aszireders:   29.10.2021, 12:34:45] --> zezuverasul appeared
[aszireders:   29.10.2021, 12:35:04] --> pizunacicipa appeared
[aszireders:   29.10.2021, 12:35:09] --> zezuverasul appeared
[aszireders:   29.10.2021, 12:35:25] --> zezuverasul appeared
[aszireders:   29.10.2021, 12:35:38] --> pizunacicipa appeared
[aszireders:   29.10.2021, 12:35:40] --> pizunacicipa appeared
[aszireders:   29.10.2021, 12:35:45] --> zezuverasul appeared
[aszireders:   29.10.2021, 12:36:08] --> Character leveled up to level 36
[aszireders:   29.10.2021, 12:36:08] --> zezuverasul appeared
[aszireders:   29.10.2021, 12:36:27] --> zezuverasul appeared
[aszireders:   29.10.2021, 12:36:47] --> zezuverasul appeared
[aszireders:   29.10.2021, 12:37:09] --> zezuverasul appeared
[aszireders:   29.10.2021, 12:37:29] --> zezuverasul appeared
[aszireders:   29.10.2021, 12:37:47] --> zezuverasul appeared
[aszireders:   29.10.2021, 12:37:59] --> pizunacicipa appeared
[aszireders:   29.10.2021, 12:38:09] --> zezuverasul appeared
[aszireders:   29.10.2021, 12:38:28] --> zezuverasul appeared
[aszireders:   29.10.2021, 12:38:35] --> pizunacicipa appeared
[aszireders:   29.10.2021, 12:38:47] --> zezuverasul appeared
[aszireders:   29.10.2021, 12:39:08] --> zezuverasul appeared
[aszireders:   29.10.2021, 12:39:26] --> Character leveled up to level 37
[aszireders:   29.10.2021, 12:39:28] --> zezuverasul appeared
[aszireders:   29.10.2021, 12:40:02] --> pizunacicipa appeared
[aszireders:   29.10.2021, 12:40:08] --> zezuverasul appeared
[aszireders:   29.10.2021, 12:40:29] --> zezuverasul appeared
[aszireders:   29.10.2021, 12:40:49] --> zezuverasul appeared
[aszireders:   29.10.2021, 12:40:56] --> pizunacicipa appeared
[aszireders:   29.10.2021, 12:41:09] --> zezuverasul appeared
[aszireders:   29.10.2021, 12:41:28] --> pizunacicipa appeared
[aszireders:   29.10.2021, 12:41:49] --> zezuverasul appeared
[aszireders:   29.10.2021, 12:41:56] --> nikinekuzuhe appeared
[aszireders:   29.10.2021, 12:42:23] --> pizunacicipa appeared
[aszireders:   29.10.2021, 12:42:25] --> pizunacicipa appeared
[aszireders:   29.10.2021, 12:42:52] --> zezuverasul appeared
[aszireders:   29.10.2021, 12:43:11] --> zezuverasul appeared
[aszireders:   29.10.2021, 12:43:32] --> zezuverasul appeared
[aszireders:   29.10.2021, 12:43:41] --> Character leveled up to level 38
[aszireders:   29.10.2021, 12:43:52] --> zezuverasul appeared
[aszireders:   29.10.2021, 12:44:15] --> zezuverasul appeared
[aszireders:   29.10.2021, 12:44:34] --> zezuverasul appeared
[aszireders:   29.10.2021, 12:44:55] --> zezuverasul appeared
[aszireders:   29.10.2021, 12:45:14] --> zezuverasul appeared
[aszireders:   29.10.2021, 12:45:34] --> zezuverasul appeared
[aszireders:   29.10.2021, 12:45:54] --> zezuverasul appeared
[aszireders:   29.10.2021, 12:46:13] --> zezuverasul appeared
[aszireders:   29.10.2021, 12:46:38] --> zezuverasul appeared
[aszireders:   29.10.2021, 12:47:00] --> zezuverasul appeared
[aszireders:   29.10.2021, 12:47:17] --> zezuverasul appeared
[aszireders:   29.10.2021, 12:47:41] --> zezuverasul appeared
[aszireders:   29.10.2021, 12:47:59] --> zezuverasul appeared
[aszireders:   29.10.2021, 12:48:20] --> Character leveled up to level 39
[aszireders:   29.10.2021, 12:48:20] --> zezuverasul appeared
[aszireders:   29.10.2021, 12:48:41] --> zezuverasul appeared
[aszireders:   29.10.2021, 12:48:59] --> zezuverasul appeared
[aszireders:   29.10.2021, 12:49:01] --> zezuverasul appeared
[aszireders:   29.10.2021, 12:49:23] --> zezuverasul appeared
[aszireders:   29.10.2021, 12:49:42] --> zezuverasul appeared
[aszireders:   29.10.2021, 12:50:01] --> zezuverasul appeared
[aszireders:   29.10.2021, 12:50:07] --> nikinekuzuhe appeared
[aszireders:   29.10.2021, 12:50:32] --> bibigekadop appeared
[aszireders:   29.10.2021, 12:50:35] --> bibigekadop appeared
[aszireders:   29.10.2021, 12:52:09] --> bibigekadop appeared
[aszireders:   29.10.2021, 12:52:12] --> bibigekadop appeared
[aszireders:   29.10.2021, 12:53:17] --> Character leveled up to level 40
[aszireders:   29.10.2021, 12:57:58] --> bibigekadop appeared
[aszireders:   29.10.2021, 12:58:23] --> bibigekadop appeared
