[:             29.10.2021, 11:32:41] --> Character got kick
[isretfirezer: 29.10.2021, 11:34:01] --> Bot successfully started
[isretfirezer: 29.10.2021, 11:36:07] --> zasderlired appeared
[isretfirezer: 29.10.2021, 11:44:46] --> Bot successfully started
[isretfirezer: 29.10.2021, 11:44:46] --> Setting 'umut' loaded because of active level settings
[isretfirezer: 29.10.2021, 11:44:46] --> Lyinn appeared
[isretfirezer: 29.10.2021, 11:44:53] --> Character went to saleswoman
[isretfirezer: 29.10.2021, 11:45:00] --> Character was kicked from the bot, reason: Character was walking
[isretfirezer: 29.10.2021, 11:45:33] --> Character was kicked from the bot, reason: Character was walking
[isretfirezer: 29.10.2021, 11:45:46] --> Character leveled up to level 5
[isretfirezer: 29.10.2021, 11:45:48] --> Character leveled up to level 7
[isretfirezer: 29.10.2021, 11:45:49] --> Character leveled up to level 8
[isretfirezer: 29.10.2021, 11:45:54] --> Character leveled up to level 9
[isretfirezer: 29.10.2021, 11:45:56] --> Character leveled up to level 10
[isretfirezer: 29.10.2021, 11:45:58] --> Character leveled up to level 11
[isretfirezer: 29.10.2021, 11:46:02] --> Character leveled up to level 12
[isretfirezer: 29.10.2021, 11:46:05] --> Character leveled up to level 13
[isretfirezer: 29.10.2021, 11:46:14] --> Character leveled up to level 14
[isretfirezer: 29.10.2021, 11:46:29] --> Character leveled up to level 15
[isretfirezer: 29.10.2021, 11:47:12] --> Character leveled up to level 16
[isretfirezer: 29.10.2021, 11:47:31] --> Character leveled up to level 17
[isretfirezer: 29.10.2021, 11:48:16] --> Character leveled up to level 18
[isretfirezer: 29.10.2021, 11:49:09] --> Character leveled up to level 19
[isretfirezer: 29.10.2021, 11:49:21] --> nararabumi appeared
[isretfirezer: 29.10.2021, 11:49:25] --> nararabumi appeared
[isretfirezer: 29.10.2021, 11:49:39] --> nararabumi appeared
[isretfirezer: 29.10.2021, 11:49:43] --> Character leveled up to level 20
[isretfirezer: 29.10.2021, 11:50:00] --> nararabumi appeared
[isretfirezer: 29.10.2021, 11:50:22] --> nararabumi appeared
[isretfirezer: 29.10.2021, 11:50:44] --> nararabumi appeared
[isretfirezer: 29.10.2021, 11:51:03] --> nararabumi appeared
[isretfirezer: 29.10.2021, 11:51:19] --> Character leveled up to level 21
[isretfirezer: 29.10.2021, 11:51:27] --> nararabumi appeared
[isretfirezer: 29.10.2021, 11:51:46] --> nararabumi appeared
[isretfirezer: 29.10.2021, 11:52:04] --> nararabumi appeared
[isretfirezer: 29.10.2021, 11:52:27] --> nararabumi appeared
[isretfirezer: 29.10.2021, 11:52:45] --> nararabumi appeared
[isretfirezer: 29.10.2021, 11:53:04] --> nararabumi appeared
[isretfirezer: 29.10.2021, 11:53:24] --> nararabumi appeared
[isretfirezer: 29.10.2021, 11:53:26] --> nararabumi appeared
[isretfirezer: 29.10.2021, 11:53:45] --> nararabumi appeared
[isretfirezer: 29.10.2021, 11:54:02] --> nararabumi appeared
[isretfirezer: 29.10.2021, 11:54:16] --> Character leveled up to level 22
[isretfirezer: 29.10.2021, 11:54:23] --> nararabumi appeared
[isretfirezer: 29.10.2021, 11:58:13] --> Character leveled up to level 23
[isretfirezer: 29.10.2021, 11:58:13] --> Setting 'umut2' loaded because of active level settings
[isretfirezer: 29.10.2021, 11:58:34] --> Character was kicked from the bot, reason: Character was walking
[isretfirezer: 29.10.2021, 11:58:39] --> MykyNyks19 appeared
[isretfirezer: 29.10.2021, 11:59:00] --> Character was kicked from the bot, reason: Character was walking
[isretfirezer: 29.10.2021, 11:59:05] --> wukesuwibuzo appeared
[isretfirezer: 29.10.2021, 11:59:19] --> wukesuwibuzo appeared
[isretfirezer: 29.10.2021, 11:59:39] --> zulelafezo appeared
[isretfirezer: 29.10.2021, 11:59:52] --> Character leveled up to level 24
[isretfirezer: 29.10.2021, 12:00:09] --> Character died
[isretfirezer: 29.10.2021, 12:00:27] --> Character died
[isretfirezer: 29.10.2021, 12:00:53] --> nivikopivabo appeared
[isretfirezer: 29.10.2021, 12:01:05] --> zulelafezo appeared
[isretfirezer: 29.10.2021, 12:01:15] --> zulelafezo appeared
[isretfirezer: 29.10.2021, 12:01:34] --> Character leveled up to level 25
[isretfirezer: 29.10.2021, 12:01:37] --> nivikopivabo appeared
[isretfirezer: 29.10.2021, 12:01:42] --> tebibakimo appeared
[isretfirezer: 29.10.2021, 12:01:44] --> wukesuwibuzo appeared
[isretfirezer: 29.10.2021, 12:03:11] --> Bot successfully started
[isretfirezer: 29.10.2021, 12:03:12] --> wukesuwibuzo appeared
[isretfirezer: 29.10.2021, 12:03:12] --> Setting 'umut2' loaded because of active level settings
[isretfirezer: 29.10.2021, 12:03:29] --> Character leveled up to level 26
[isretfirezer: 29.10.2021, 12:04:04] --> Character leveled up to level 27
[isretfirezer: 29.10.2021, 12:04:09] --> wukesuwibuzo appeared
[isretfirezer: 29.10.2021, 12:04:58] --> wukesuwibuzo appeared
[isretfirezer: 29.10.2021, 12:05:01] --> Character leveled up to level 28
[isretfirezer: 29.10.2021, 12:05:19] --> wukesuwibuzo appeared
[isretfirezer: 29.10.2021, 12:05:39] --> zulelafezo appeared
[isretfirezer: 29.10.2021, 12:06:06] --> Character leveled up to level 29
[isretfirezer: 29.10.2021, 12:06:29] --> nivikopivabo appeared
[isretfirezer: 29.10.2021, 12:07:01] --> zulelafezo appeared
[isretfirezer: 29.10.2021, 12:07:51] --> nivikopivabo appeared
[isretfirezer: 29.10.2021, 12:07:55] --> Character leveled up to level 30
[isretfirezer: 29.10.2021, 12:07:57] --> Bot stopped: Character reached level 30
[isretfirezer: 29.10.2021, 12:08:02] --> Character died
[isretfirezer: 29.10.2021, 12:08:17] --> nivikopivabo appeared
[isretfirezer: 29.10.2021, 12:08:21] --> nararabumi appeared
[isretfirezer: 29.10.2021, 12:09:05] --> nararabumi appeared
[isretfirezer: 29.10.2021, 12:09:48] --> nararabumi appeared
[isretfirezer: 29.10.2021, 12:10:28] --> kaduvatubi appeared
[isretfirezer: 29.10.2021, 12:22:44] --> Bot successfully started
[isretfirezer: 29.10.2021, 12:22:45] --> wukesuwibuzo appeared
[isretfirezer: 29.10.2021, 12:22:53] --> Character was kicked from the bot, reason: Character was walking
[isretfirezer: 29.10.2021, 12:23:05] --> rebegefilafo appeared
[isretfirezer: 29.10.2021, 12:23:25] --> rebegefilafo appeared
[isretfirezer: 29.10.2021, 12:23:41] --> rebegefilafo appeared
[isretfirezer: 29.10.2021, 12:23:44] --> rebegefilafo appeared
[isretfirezer: 29.10.2021, 12:24:08] --> rebegefilafo appeared
[isretfirezer: 29.10.2021, 12:24:25] --> rebegefilafo appeared
[isretfirezer: 29.10.2021, 12:24:35] --> Character leveled up to level 31
[isretfirezer: 29.10.2021, 12:24:44] --> rebegefilafo appeared
[isretfirezer: 29.10.2021, 12:25:04] --> rebegefilafo appeared
[isretfirezer: 29.10.2021, 12:25:23] --> rebegefilafo appeared
[isretfirezer: 29.10.2021, 12:25:43] --> rebegefilafo appeared
[isretfirezer: 29.10.2021, 12:26:05] --> rebegefilafo appeared
[isretfirezer: 29.10.2021, 12:26:37] --> Character leveled up to level 32
[isretfirezer: 29.10.2021, 12:26:45] --> rebegefilafo appeared
[isretfirezer: 29.10.2021, 12:27:06] --> rebegefilafo appeared
[isretfirezer: 29.10.2021, 12:27:27] --> rebegefilafo appeared
[isretfirezer: 29.10.2021, 12:27:46] --> rebegefilafo appeared
[isretfirezer: 29.10.2021, 12:28:05] --> rebegefilafo appeared
[isretfirezer: 29.10.2021, 12:28:26] --> rebegefilafo appeared
[isretfirezer: 29.10.2021, 12:28:46] --> rebegefilafo appeared
[isretfirezer: 29.10.2021, 12:28:50] --> Character leveled up to level 33
[isretfirezer: 29.10.2021, 12:29:06] --> rebegefilafo appeared
[isretfirezer: 29.10.2021, 12:29:27] --> rebegefilafo appeared
[isretfirezer: 29.10.2021, 12:29:46] --> rebegefilafo appeared
[isretfirezer: 29.10.2021, 12:30:05] --> rebegefilafo appeared
[isretfirezer: 29.10.2021, 12:30:09] --> rebegefilafo appeared
[isretfirezer: 29.10.2021, 12:30:27] --> rebegefilafo appeared
[isretfirezer: 29.10.2021, 12:30:47] --> rebegefilafo appeared
[isretfirezer: 29.10.2021, 12:31:06] --> rebegefilafo appeared
[isretfirezer: 29.10.2021, 12:31:23] --> Character leveled up to level 34
[isretfirezer: 29.10.2021, 12:31:27] --> rebegefilafo appeared
